,,Democratic,Working Families,Constitution,Independence,Green,Republican,American,Libertarian,,,,,,,,,,,,,,,,,,,
Precinct,Registered Voters,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total,,,,,,,,,,,,,,,,,,
HICKORY HILL,359,81,1,0,2,0,47,0,0,131,,,,,,,,,,,,,,,,,,
IONIA,658,99,2,0,0,0,94,1,0,196,,,,,,,,,,,,,,,,,,
LYNCHBURG,731,326,2,0,0,1,21,1,0,351,,,,,,,,,,,,,,,,,,
MANVILLE,719,206,3,0,2,1,33,0,0,245,,,,,,,,,,,,,,,,,,
MT. CLIO,271,93,1,0,0,0,4,1,0,99,,,,,,,,,,,,,,,,,,
RATTLESNAKE SPRINGS,340,74,1,0,1,0,34,1,0,111,,,,,,,,,,,,,,,,,,
SCHROCKS MILL/LUCKNOW,494,80,1,0,2,0,66,1,0,150,,,,,,,,,,,,,,,,,,
SOUTH LYNCHBURG,413,136,4,0,0,0,27,1,0,168,,,,,,,,,,,,,,,,,,
SPRING HILL,666,205,3,1,1,0,42,3,0,255,,,,,,,,,,,,,,,,,,
ST. CHARLES,950,236,3,1,1,1,45,1,0,288,,,,,,,,,,,,,,,,,,
ST. MATTHEWS,175,28,1,0,0,0,36,0,0,65,,,,,,,,,,,,,,,,,,
TURKEY CREEK,194,39,2,0,1,0,24,0,0,66,,,,,,,,,,,,,,,,,,
WOODROW,245,55,0,0,0,0,12,1,1,69,,,,,,,,,,,,,,,,,,
Batesburg,2020,417,13,2,1,1,173,5,2,614,,,,,,,,,,,,,,,,,,
Mims,1208,82,7,0,6,3,255,1,0,354,,,,,,,,,,,,,,,,,,
Lake Murray #1,2089,47,2,0,3,1,337,4,5,399,,,,,,,,,,,,,,,,,,
Mount Horeb,2069,44,2,1,3,1,280,0,4,335,,,,,,,,,,,,,,,,,,
Old Barnwell Rd,1605,133,8,0,4,0,188,0,5,338,,,,,,,,,,,,,,,,,,
Beulah Church,2239,62,3,0,4,1,445,3,4,522,,,,,,,,,,,,,,,,,,
Gilbert,1977,62,5,1,4,1,324,3,3,403,,,,,,,,,,,,,,,,,,
Pond Branch,1877,82,11,1,9,2,363,5,3,476,,,,,,,,,,,,,,,,,,
Seven Oaks,1645,215,8,0,3,11,164,2,3,406,,,,,,,,,,,,,,,,,,
Ridge Road,2018,44,3,3,3,0,403,1,3,460,,,,,,,,,,,,,,,,,,
Summit,1228,81,8,1,2,1,243,3,2,341,,,,,,,,,,,,,,,,,,
Leesville,2212,321,9,0,3,2,265,1,5,606,,,,,,,,,,,,,,,,,,
Red Bank South #1,2178,106,10,2,10,3,390,7,3,531,,,,,,,,,,,,,,,,,,
Emmanuel Church,2097,119,9,1,13,2,379,5,6,534,,,,,,,,,,,,,,,,,,
Hollow Creek,2286,94,4,1,7,4,435,2,4,551,,,,,,,,,,,,,,,,,,
Boiling Springs,1976,99,2,0,5,2,355,1,2,466,,,,,,,,,,,,,,,,,,
Edmund #1,1157,88,6,1,5,4,179,1,4,288,,,,,,,,,,,,,,,,,,
Red Bank,3271,173,8,2,3,4,494,7,5,696,,,,,,,,,,,,,,,,,,
Round Hill,3557,183,9,0,7,4,580,5,11,799,,,,,,,,,,,,,,,,,,
Fairview,1274,103,6,2,6,2,272,6,4,401,,,,,,,,,,,,,,,,,,
Quail Hollow,2215,125,3,0,5,1,183,1,7,325,,,,,,,,,,,,,,,,,,
Pelion #1,1345,39,6,2,4,4,307,4,2,368,,,,,,,,,,,,,,,,,,
Mack-Edisto,722,40,3,1,6,0,156,2,0,208,,,,,,,,,,,,,,,,,,
Swansea #1,1172,212,4,2,3,2,150,1,1,375,,,,,,,,,,,,,,,,,,
Sandy Run,852,94,4,0,4,1,154,0,2,259,,,,,,,,,,,,,,,,,,
Gaston #1,1312,65,11,0,3,0,266,4,3,352,,,,,,,,,,,,,,,,,,
Sharpe'S Hill,1865,153,13,1,13,3,330,14,2,529,,,,,,,,,,,,,,,,,,
Chapin,2775,181,9,1,13,1,518,2,8,733,,,,,,,,,,,,,,,,,,
Leaphart Road,1081,103,1,0,2,2,117,1,1,227,,,,,,,,,,,,,,,,,,
Westover,1609,62,1,0,3,1,171,0,3,241,,,,,,,,,,,,,,,,,,
Edenwood,2204,203,1,2,6,2,264,2,6,486,,,,,,,,,,,,,,,,,,
Cromer,1433,88,3,2,3,5,197,1,3,302,,,,,,,,,,,,,,,,,,
Lexington No. 1,2934,127,4,0,12,1,352,2,7,505,,,,,,,,,,,,,,,,,,
Lexington No. 2,1953,137,4,3,6,6,203,1,5,365,,,,,,,,,,,,,,,,,,
Cayce Ward No.1,1552,125,1,0,3,5,91,1,6,232,,,,,,,,,,,,,,,,,,
Cayce Ward No.2,1807,306,5,1,9,3,141,0,6,471,,,,,,,,,,,,,,,,,,
Cayce Ward No.3,781,53,0,0,1,0,64,0,5,123,,,,,,,,,,,,,,,,,,
Chalk Hill,2965,730,14,1,4,2,139,4,1,895,,,,,,,,,,,,,,,,,,
Congaree #1,1785,89,7,0,9,0,335,1,3,444,,,,,,,,,,,,,,,,,,
Hook'S Store,2027,212,8,0,8,1,243,4,6,482,,,,,,,,,,,,,,,,,,
Saluda River,1925,194,5,0,6,4,145,4,11,369,,,,,,,,,,,,,,,,,,
Springdale,2020,84,5,1,8,2,315,2,3,420,,,,,,,,,,,,,,,,,,
Pineridge #1,1280,82,4,1,2,1,179,5,9,283,,,,,,,,,,,,,,,,,,
W Columbia No 1,930,58,2,2,4,0,52,0,4,122,,,,,,,,,,,,,,,,,,
W Columbia No 2,747,239,1,0,1,0,28,2,3,274,,,,,,,,,,,,,,,,,,
W Columbia No 3,721,45,2,0,3,0,102,1,4,157,,,,,,,,,,,,,,,,,,
W Columbia No 4,1630,149,10,2,4,4,189,1,4,363,,,,,,,,,,,,,,,,,,
Irmo,2125,224,2,0,6,3,189,5,11,440,,,,,,,,,,,,,,,,,,
Challedon,1694,245,4,0,4,4,158,1,9,425,,,,,,,,,,,,,,,,,,
Whitehall,2343,197,4,0,7,1,233,0,7,449,,,,,,,,,,,,,,,,,,
Gardendale,1687,216,2,0,0,3,156,0,4,381,,,,,,,,,,,,,,,,,,
Woodland Hills,1592,262,5,1,4,4,115,2,7,400,,,,,,,,,,,,,,,,,,
Pineview,1814,94,4,0,6,1,250,1,1,357,,,,,,,,,,,,,,,,,,
Quail Valley,2180,177,3,0,4,1,240,0,3,428,,,,,,,,,,,,,,,,,,
Cayce Ward 2-A,1411,101,3,0,3,4,168,2,1,282,,,,,,,,,,,,,,,,,,
Barr Road #1,1478,75,0,1,3,1,213,1,3,297,,,,,,,,,,,,,,,,,,
Coldstream,2005,158,3,0,9,2,255,1,2,430,,,,,,,,,,,,,,,,,,
Grenadier,2040,293,2,2,9,4,158,4,2,474,,,,,,,,,,,,,,,,,,
St. Michael,2286,71,3,1,7,4,363,0,4,453,,,,,,,,,,,,,,,,,,
Murraywood,2143,133,5,0,5,2,260,3,6,414,,,,,,,,,,,,,,,,,,
Amicks Ferry,3078,76,2,1,5,0,584,0,5,673,,,,,,,,,,,,,,,,,,
Bush River,1712,168,4,2,2,2,191,2,5,376,,,,,,,,,,,,,,,,,,
Dutchman Shores,1869,45,0,1,3,3,382,4,5,443,,,,,,,,,,,,,,,,,,
Pilgrim Church,2866,102,5,1,10,3,387,1,9,518,,,,,,,,,,,,,,,,,,
White Knoll,2228,135,8,3,14,5,367,3,9,544,,,,,,,,,,,,,,,,,,
Faith Church,1397,73,1,0,4,0,175,2,5,260,,,,,,,,,,,,,,,,,,
Kitti Wake,1837,170,5,3,9,4,271,3,7,472,,,,,,,,,,,,,,,,,,
Providence Church,2559,56,1,0,3,0,407,1,6,474,,,,,,,,,,,,,,,,,,
Boiling Springs South,1217,46,1,3,6,0,263,4,3,326,,,,,,,,,,,,,,,,,,
Lexington #3,3035,84,5,2,11,3,288,1,3,397,,,,,,,,,,,,,,,,,,
Lexington #4,3418,164,5,0,11,1,359,3,8,551,,,,,,,,,,,,,,,,,,
Midway,1213,34,0,1,2,2,202,0,6,247,,,,,,,,,,,,,,,,,,
Park Road #1,1774,87,2,1,6,2,244,0,9,351,,,,,,,,,,,,,,,,,,
Springdale South,726,47,1,0,7,1,98,2,1,157,,,,,,,,,,,,,,,,,,
Gaston #2,1693,144,9,1,12,2,294,6,9,477,,,,,,,,,,,,,,,,,,
Lake Murray #2,3032,138,3,1,7,0,466,0,9,624,,,,,,,,,,,,,,,,,,
Congaree #2,999,80,3,1,0,0,164,1,2,251,,,,,,,,,,,,,,,,,,
St Davids,2575,140,5,1,7,5,372,4,6,540,,,,,,,,,,,,,,,,,,
Mt Hebron,1373,116,4,1,3,0,174,0,3,301,,,,,,,,,,,,,,,,,,
Sandhill,1732,149,13,1,6,4,283,3,6,465,,,,,,,,,,,,,,,,,,
Edmund #2,1688,53,3,2,7,2,323,9,3,402,,,,,,,,,,,,,,,,,,
Swansea #2,1412,192,6,0,8,1,195,2,2,406,,,,,,,,,,,,,,,,,,
Pelion #2,1471,81,14,1,4,3,275,5,4,387,,,,,,,,,,,,,,,,,,
Dreher Island,1489,35,0,1,3,0,363,1,1,404,,,,,,,,,,,,,,,,,,
Old Lexington,2762,103,4,2,10,7,522,1,8,657,,,,,,,,,,,,,,,,,,
Lincreek,2188,147,3,0,4,1,265,4,3,427,,,,,,,,,,,,,,,,,,
Cedarcrest,1694,143,5,0,8,2,254,2,3,417,,,,,,,,,,,,,,,,,,
Oakwood,2491,104,5,3,6,4,344,2,7,475,,,,,,,,,,,,,,,,,,
Barr Road #2,2478,96,3,0,10,6,425,0,8,548,,,,,,,,,,,,,,,,,,
Park Road #2,1179,40,2,0,2,2,136,0,0,182,,,,,,,,,,,,,,,,,,
Pineridge #2,2211,212,3,2,0,1,296,2,5,521,,,,,,,,,,,,,,,,,,
Redbank South #2,1540,120,4,0,3,5,271,3,6,412,,,,,,,,,,,,,,,,,,
Carolina Springs,1688,122,4,0,4,3,240,1,1,375,,,,,,,,,,,,,,,,,,
Platt Springs 1,1242,66,5,0,7,2,262,3,5,350,,,,,,,,,,,,,,,,,,
Platt Springs 2,2196,274,7,3,6,5,334,4,8,641,,,,,,,,,,,,,,,,,,
River Bluff,2305,98,1,0,7,2,362,4,6,480,,,,,,,,,,,,,,,,,,
BRITTON'S NECK,1523,373,3,1,6,0,94,2,2,481,,,,,,,,,,,,,,,,,,
FRIENDSHIP,340,106,3,0,0,0,11,1,1,122,,,,,,,,,,,,,,,,,,
CENTENARY,1465,358,12,0,4,1,75,3,1,454,,,,,,,,,,,,,,,,,,
RAINS,843,221,7,0,3,3,26,1,0,261,,,,,,,,,,,,,,,,,,
MARION NO. 1,1554,273,9,0,5,1,35,3,1,327,,,,,,,,,,,,,,,,,,
MARION NO. 2,1502,163,4,0,6,2,74,2,2,253,,,,,,,,,,,,,,,,,,
MARION NORTH,1504,257,11,0,6,1,91,8,2,376,,,,,,,,,,,,,,,,,,
MARION SOUTH,3216,727,10,0,4,0,65,5,0,811,,,,,,,,,,,,,,,,,,
MARION WEST,1253,162,3,0,1,0,101,3,1,271,,,,,,,,,,,,,,,,,,
SELLERS,286,77,1,0,0,0,12,1,0,91,,,,,,,,,,,,,,,,,,
TEMPERANCE,1086,252,4,1,1,0,57,5,0,320,,,,,,,,,,,,,,,,,,
ZION,569,144,1,0,2,1,22,2,0,172,,,,,,,,,,,,,,,,,,
N WEST MULLINS,1757,430,9,0,3,0,52,3,1,498,,,,,,,,,,,,,,,,,,
S WEST MULLINS,1734,320,5,0,2,0,50,2,0,379,,,,,,,,,,,,,,,,,,
N EAST MULLINS,2219,372,15,0,4,3,82,4,1,481,,,,,,,,,,,,,,,,,,
S EAST MULLINS,1521,112,6,0,10,2,71,3,1,205,,,,,,,,,,,,,,,,,,
NICHOLS,835,109,5,0,5,0,74,5,1,199,,,,,,,,,,,,,,,,,,
ADAMSVILLE,426,50,1,0,0,0,47,1,0,99,,,,,,,,,,,,,,,,,,
BLENHEIM,336,41,3,1,1,0,29,3,0,78,,,,,,,,,,,,,,,,,,
BRIGHTSVILLE,769,113,5,0,1,0,75,2,0,196,,,,,,,,,,,,,,,,,,
BROWNSVILLE,352,34,0,0,2,0,58,0,0,94,,,,,,,,,,,,,,,,,,
RED HILL,1353,124,6,0,0,0,73,1,0,204,,,,,,,,,,,,,,,,,,
TATUM,407,56,1,0,3,0,32,2,1,95,,,,,,,,,,,,,,,,,,
WALLACE,1353,192,6,2,9,2,147,6,1,365,,,,,,,,,,,,,,,,,,
QUICKS X ROADS,1034,138,5,0,5,0,56,2,1,207,,,,,,,,,,,,,,,,,,
CLIO,1668,319,4,0,6,0,72,3,2,406,,,,,,,,,,,,,,,,,,
MCCOLL,1520,131,11,0,5,0,92,2,1,242,,,,,,,,,,,,,,,,,,
EAST MCCOLL,1030,48,2,0,3,0,88,3,0,144,,,,,,,,,,,,,,,,,,
E BENNETTSVILLE,2044,221,1,1,1,1,62,3,1,291,,,,,,,,,,,,,,,,,,
W BENNETTSVILLE,2208,209,6,0,4,0,42,2,0,263,,,,,,,,,,,,,,,,,,
S BENNETTSVILLE,1281,213,9,0,0,1,15,5,0,243,,,,,,,,,,,,,,,,,,
N BENNETTSVILLE,2779,225,5,0,3,0,110,2,1,346,,,,,,,,,,,,,,,,,,
Mt. Carmel,265,93,0,0,0,0,9,1,0,103,,,,,,,,,,,,,,,,,,
Monticello,492,10,0,0,1,0,44,0,0,55,,,,,,,,,,,,,,,,,,
Savannah,1791,26,2,0,7,1,187,1,2,226,,,,,,,,,,,,,,,,,,
Willington,229,36,0,0,0,0,15,0,0,51,,,,,,,,,,,,,,,,,,
McCormick No. 1,1311,179,7,2,3,1,61,2,0,255,,,,,,,,,,,,,,,,,,
Bethany,379,131,1,0,1,0,23,0,0,156,,,,,,,,,,,,,,,,,,
McCormick No. 2,1103,169,2,0,4,0,38,0,0,213,,,,,,,,,,,,,,,,,,
Plum Branch,864,147,2,0,1,0,75,5,1,231,,,,,,,,,,,,,,,,,,
Parksville,197,6,1,0,2,0,46,1,0,56,,,,,,,,,,,,,,,,,,
Modoc,283,4,1,0,1,0,68,0,0,74,,,,,,,,,,,,,,,,,,
Clark's Hill,604,129,0,0,3,0,78,1,2,213,,,,,,,,,,,,,,,,,,
NEWBERRY WD 1,428,72,0,0,0,0,19,0,1,92,,,,,,,,,,,,,,,,,,
NEWBERRY WD 2,1162,58,0,0,4,0,55,1,1,119,,,,,,,,,,,,,,,,,,
NEWBERRY WD 3,920,131,5,0,2,0,33,2,1,174,,,,,,,,,,,,,,,,,,
NEWBERRY WD 4,582,149,0,0,0,1,7,0,0,157,,,,,,,,,,,,,,,,,,
NEWBERRY WD 5,726,204,6,1,2,1,6,1,0,221,,,,,,,,,,,,,,,,,,
NEWBERRY WD 6,1203,134,1,0,3,1,43,1,1,184,,,,,,,,,,,,,,,,,,
BETH-EDEN,583,44,3,0,0,1,45,3,1,97,,,,,,,,,,,,,,,,,,
BUSH RIVER,315,24,0,0,1,0,20,2,0,47,,,,,,,,,,,,,,,,,,
CHAPPELLS,675,78,4,0,4,0,132,2,2,222,,,,,,,,,,,,,,,,,,
FAIRVIEW,1627,59,3,0,2,1,199,1,2,267,,,,,,,,,,,,,,,,,,
HARTFORD,1146,148,7,1,3,1,65,3,1,229,,,,,,,,,,,,,,,,,,
HELENA,884,287,4,1,2,0,12,2,0,308,,,,,,,,,,,,,,,,,,
KINARDS JALAPA,459,45,3,0,3,0,52,0,0,103,,,,,,,,,,,,,,,,,,
JOHNSTONE,564,52,3,0,3,0,32,1,1,92,,,,,,,,,,,,,,,,,,
LITTLE MOUNTAIN,1043,92,4,1,1,1,114,3,0,216,,,,,,,,,,,,,,,,,,
MAYBINTON,83,27,0,0,0,0,2,0,0,29,,,,,,,,,,,,,,,,,,
MIDWAY,297,7,1,0,1,1,32,0,1,43,,,,,,,,,,,,,,,,,,
MT. BETHERL GARMANY,1226,187,3,0,1,0,54,2,0,247,,,,,,,,,,,,,,,,,,
CONSOLIDATED #5,1059,77,5,0,0,1,73,4,0,160,,,,,,,,,,,,,,,,,,
O'NEAL,1398,52,4,0,3,1,181,5,1,247,,,,,,,,,,,,,,,,,,
OAKLAND,790,189,9,0,2,1,11,3,0,215,,,,,,,,,,,,,,,,,,
PEAK,127,7,0,0,0,0,12,0,0,19,,,,,,,,,,,,,,,,,,
PONARIA,611,52,2,0,4,3,61,2,0,124,,,,,,,,,,,,,,,,,,
PROSPERITY,1888,237,5,0,8,1,108,3,0,362,,,,,,,,,,,,,,,,,,
SILVERSTREET,767,81,4,0,2,0,51,2,2,142,,,,,,,,,,,,,,,,,,
STONEY HILL,728,23,4,0,0,1,93,0,0,121,,,,,,,,,,,,,,,,,,
ST PHILLIPS JOLLY ST.,1022,106,2,0,2,2,63,0,2,177,,,,,,,,,,,,,,,,,,
WHEELAND,450,13,4,1,1,1,48,0,0,68,,,,,,,,,,,,,,,,,,
WHITMIRE CITY,835,75,2,0,5,1,90,1,0,174,,,,,,,,,,,,,,,,,,
WHITMIRE OUTSIDE,764,95,1,0,7,0,83,5,1,192,,,,,,,,,,,,,,,,,,
Newry-Corinth,281,15,1,1,0,0,48,0,0,65,,,,,,,,,,,,,,,,,,
Earles Grove,824,34,3,0,1,2,188,2,0,230,,,,,,,,,,,,,,,,,,
Ravenel,2505,155,1,0,6,2,351,1,1,517,,,,,,,,,,,,,,,,,,
Fair Play,947,35,1,1,3,0,244,3,0,287,,,,,,,,,,,,,,,,,,
Friendship,1988,110,9,4,13,3,395,9,6,549,,,,,,,,,,,,,,,,,,
Holly Springs,361,7,5,1,3,0,104,2,1,123,,,,,,,,,,,,,,,,,,
Keowee,1783,48,4,1,6,3,318,2,2,384,,,,,,,,,,,,,,,,,,
Long Creek,384,22,1,0,2,4,74,2,0,105,,,,,,,,,,,,,,,,,,
Mountain Rest,876,38,2,0,3,2,181,3,1,230,,,,,,,,,,,,,,,,,,
Madison,605,13,1,0,3,0,169,0,0,186,,,,,,,,,,,,,,,,,,
Bountyland,1791,63,6,0,5,1,303,1,2,381,,,,,,,,,,,,,,,,,,
Oakway,1315,54,3,4,4,0,281,4,4,354,,,,,,,,,,,,,,,,,,
Return,693,23,2,0,1,0,166,1,2,195,,,,,,,,,,,,,,,,,,
Richland,998,44,2,1,7,2,207,1,2,266,,,,,,,,,,,,,,,,,,
Salem,1791,53,7,2,8,4,418,7,1,500,,,,,,,,,,,,,,,,,,
Stamp Creek,2741,67,0,0,7,1,363,0,1,439,,,,,,,,,,,,,,,,,,
New Hope,2239,46,1,0,5,1,368,1,1,423,,,,,,,,,,,,,,,,,,
Shiloh,1172,114,4,1,4,1,186,2,1,313,,,,,,,,,,,,,,,,,,
South Union,1557,54,10,1,10,4,346,3,3,431,,,,,,,,,,,,,,,,,,
Tamassee,1332,51,2,0,4,2,287,3,3,352,,,,,,,,,,,,,,,,,,
Tokeena-Providence,1291,50,3,1,5,0,278,2,0,339,,,,,,,,,,,,,,,,,,
Utica,732,84,6,0,5,2,93,2,1,193,,,,,,,,,,,,,,,,,,
Walhalla 1,3583,108,11,1,13,7,470,3,9,622,,,,,,,,,,,,,,,,,,
Walhalla 2,2720,120,17,3,5,5,398,9,3,560,,,,,,,,,,,,,,,,,,
Westminster 1,2924,106,13,2,5,6,554,8,5,699,,,,,,,,,,,,,,,,,,
Westminster 2,1841,54,7,2,9,2,306,4,2,386,,,,,,,,,,,,,,,,,,
West Union,1825,63,5,1,5,1,309,5,2,391,,,,,,,,,,,,,,,,,,
Seneca 1,2826,300,7,0,12,6,314,1,5,645,,,,,,,,,,,,,,,,,,
Seneca 2,2165,137,3,0,3,2,275,3,5,428,,,,,,,,,,,,,,,,,,
Seneca 3,1381,76,3,0,5,2,203,1,4,294,,,,,,,,,,,,,,,,,,
Seneca 4,2909,291,11,3,6,6,289,7,5,618,,,,,,,,,,,,,,,,,,
ORANGEBURG WD 1,696,136,0,0,2,1,69,1,1,210,,,,,,,,,,,,,,,,,,
ORANGEBURG WD 2,552,197,0,0,0,1,7,0,0,205,,,,,,,,,,,,,,,,,,
ORANGEBURG WD 3,1013,344,2,0,0,0,6,1,0,353,,,,,,,,,,,,,,,,,,
ORANGEBURG WD 4,2357,539,7,0,6,2,4,6,0,564,,,,,,,,,,,,,,,,,,
ORANGEBURG WD 5,545,163,2,0,1,0,9,1,1,177,,,,,,,,,,,,,,,,,,
ORANGEBURG WD 6,737,192,1,0,1,0,27,3,0,224,,,,,,,,,,,,,,,,,,
ORNAGEBURG WD 7,765,114,2,0,0,1,57,0,0,174,,,,,,,,,,,,,,,,,,
ORANGEBURG WD 8,568,98,1,0,1,0,54,0,0,154,,,,,,,,,,,,,,,,,,
ORANGEBURG WD 9,561,137,2,0,2,1,30,3,0,175,,,,,,,,,,,,,,,,,,
ORANGEBURG WD 10,791,133,0,0,0,0,57,1,0,191,,,,,,,,,,,,,,,,,,
SUBURBAN 1,741,232,1,0,1,0,3,2,1,240,,,,,,,,,,,,,,,,,,
SUBURBAN 2,725,225,2,0,0,0,2,0,0,229,,,,,,,,,,,,,,,,,,
SUBURBAN 3,1404,443,2,0,0,1,30,4,0,480,,,,,,,,,,,,,,,,,,
SUBURBAN 4,540,125,2,0,1,0,36,1,0,165,,,,,,,,,,,,,,,,,,
SUBURBAN 5,1189,384,2,0,1,2,56,3,1,449,,,,,,,,,,,,,,,,,,
SUBURBAN 6,860,209,6,0,1,1,96,3,1,317,,,,,,,,,,,,,,,,,,
SUBURBAN 7,1410,173,1,0,1,0,142,1,3,321,,,,,,,,,,,,,,,,,,
SUBURBAN 8,868,144,3,0,3,1,77,0,3,231,,,,,,,,,,,,,,,,,,
SUBURBAN 9,1475,405,2,0,0,1,63,4,1,476,,,,,,,,,,,,,,,,,,
BETHEL,705,190,0,0,1,0,49,0,2,242,,,,,,,,,,,,,,,,,,
BOWMAN 1,1418,412,3,0,1,2,97,2,0,517,,,,,,,,,,,,,,,,,,
BOWMAN 2,792,208,3,2,3,2,103,5,0,326,,,,,,,,,,,,,,,,,,
BRANCHVILLE 1,1016,186,4,0,2,0,145,1,1,339,,,,,,,,,,,,,,,,,,
BRANCHVILLE 2,458,68,5,0,0,1,74,0,0,148,,,,,,,,,,,,,,,,,,
BROOKDALE,1364,394,1,1,2,0,9,0,0,407,,,,,,,,,,,,,,,,,,
COPE,629,128,5,0,0,0,114,3,0,250,,,,,,,,,,,,,,,,,,
CORDOVA 1,1433,262,3,1,3,2,204,0,2,477,,,,,,,,,,,,,,,,,,
EDISTO,943,91,2,1,3,1,235,3,1,337,,,,,,,,,,,,,,,,,,
ELLOREE 1,887,184,1,2,9,0,132,1,1,330,,,,,,,,,,,,,,,,,,
EUTAWVILLE 1,1505,258,1,0,7,3,248,3,0,520,,,,,,,,,,,,,,,,,,
EUTAWVILLE 2,1786,504,3,2,2,3,91,1,1,607,,,,,,,,,,,,,,,,,,
FOUR HOLES,557,80,1,0,1,0,120,1,1,204,,,,,,,,,,,,,,,,,,
HOLLY HILL 2,1834,637,2,0,1,0,77,1,2,720,,,,,,,,,,,,,,,,,,
HOLLY HILL 1,1858,398,6,1,3,0,225,3,4,640,,,,,,,,,,,,,,,,,,
JAMISON,1868,427,3,0,2,1,107,2,2,544,,,,,,,,,,,,,,,,,,
LIMESTONE 1,2531,539,4,0,4,0,135,3,1,686,,,,,,,,,,,,,,,,,,
NEESES-LIVINGSTON,1012,152,4,0,3,2,167,3,0,331,,,,,,,,,,,,,,,,,,
NIX,1219,508,2,1,2,0,4,1,1,519,,,,,,,,,,,,,,,,,,
NORTH 2,1189,239,7,1,2,1,182,2,0,434,,,,,,,,,,,,,,,,,,
NORTH 1,1226,283,7,0,0,1,141,2,1,435,,,,,,,,,,,,,,,,,,
NORWAY,1320,384,1,0,2,0,127,7,2,523,,,,,,,,,,,,,,,,,,
PINE HILL,1060,253,6,1,2,1,113,3,1,380,,,,,,,,,,,,,,,,,,
PROVIDENCE,1087,383,5,1,0,0,85,2,0,476,,,,,,,,,,,,,,,,,,
ROWESVILLE,563,162,2,0,0,0,76,2,0,242,,,,,,,,,,,,,,,,,,
SANTEE 1,1422,181,1,0,1,3,248,1,2,437,,,,,,,,,,,,,,,,,,
SPRINGFIELD,1252,265,5,0,1,0,155,2,1,429,,,,,,,,,,,,,,,,,,
VANCE,1481,422,0,0,2,0,90,5,1,520,,,,,,,,,,,,,,,,,,
WHITTAKER,1153,368,1,1,0,2,25,1,0,398,,,,,,,,,,,,,,,,,,
BOLENTOWN,1226,228,5,0,3,0,185,1,2,424,,,,,,,,,,,,,,,,,,
CORDOVA 2,1464,352,3,0,5,1,157,1,1,520,,,,,,,,,,,,,,,,,,
ELLOREE 2,726,252,0,0,2,0,45,0,0,299,,,,,,,,,,,,,,,,,,
LIMESTONE 2,1183,232,1,1,3,0,90,0,0,327,,,,,,,,,,,,,,,,,,
SANTEE 2,1223,531,4,0,2,1,8,0,1,547,,,,,,,,,,,,,,,,,,
Stone Church,1191,113,4,0,1,1,123,0,3,245,,,,,,,,,,,,,,,,,,
University,826,47,0,0,0,0,73,1,3,124,,,,,,,,,,,,,,,,,,
Morrison,1307,74,1,1,3,1,123,2,9,214,,,,,,,,,,,,,,,,,,
Abel,1031,148,3,0,5,0,65,3,3,227,,,,,,,,,,,,,,,,,,
Calhoun,1329,93,1,0,4,3,95,5,6,207,,,,,,,,,,,,,,,,,,
Clemson,1741,137,2,0,2,2,205,1,4,353,,,,,,,,,,,,,,,,,,
Issaqueena,904,74,0,0,5,2,80,0,1,162,,,,,,,,,,,,,,,,,,
West Central,1249,74,3,1,9,4,85,1,7,184,,,,,,,,,,,,,,,,,,
North Central,1058,59,2,0,3,4,204,2,4,278,,,,,,,,,,,,,,,,,,
Pike,1030,81,1,1,7,2,132,3,5,232,,,,,,,,,,,,,,,,,,
Lawrence Chapel,1200,46,1,1,4,3,219,1,3,278,,,,,,,,,,,,,,,,,,
Norris,1154,50,2,0,1,1,294,1,0,349,,,,,,,,,,,,,,,,,,
Six Mile,1406,30,3,1,2,2,335,1,3,377,,,,,,,,,,,,,,,,,,
Six Mile Mountain,1445,34,3,0,4,1,287,4,1,334,,,,,,,,,,,,,,,,,,
Praters Creek,872,12,3,0,3,1,206,2,0,227,,,,,,,,,,,,,,,,,,
Mountain View,1453,39,2,0,0,1,265,0,3,310,,,,,,,,,,,,,,,,,,
Albert R. Lewis,1282,18,9,0,4,0,213,5,1,250,,,,,,,,,,,,,,,,,,
Holly Springs,1434,48,4,0,5,2,277,2,3,341,,,,,,,,,,,,,,,,,,
Pumpkintown,1494,65,6,0,5,2,302,2,1,383,,,,,,,,,,,,,,,,,,
Griffin,1421,31,7,2,9,0,312,4,1,366,,,,,,,,,,,,,,,,,,
North Pickens,1342,15,8,0,4,2,240,1,5,275,,,,,,,,,,,,,,,,,,
West Pickens,1421,47,8,0,4,2,237,6,0,304,,,,,,,,,,,,,,,,,,
South Pickens,1178,68,5,0,7,1,176,5,0,262,,,,,,,,,,,,,,,,,,
East Pickens,1252,24,2,0,4,2,222,5,2,261,,,,,,,,,,,,,,,,,,
Glassy Mountain,1265,24,6,0,3,2,237,2,4,278,,,,,,,,,,,,,,,,,,
Cedar Rock,1232,31,1,1,0,1,330,0,0,364,,,,,,,,,,,,,,,,,,
Skelton,1155,23,8,0,3,1,227,2,1,265,,,,,,,,,,,,,,,,,,
Rices Creek,1261,28,3,0,5,1,296,1,1,335,,,,,,,,,,,,,,,,,,
West Liberty,1285,27,8,1,4,3,284,4,2,333,,,,,,,,,,,,,,,,,,
East Liberty,1145,46,7,0,5,0,240,4,5,307,,,,,,,,,,,,,,,,,,
Flat Rock,1269,46,6,0,2,2,318,8,4,386,,,,,,,,,,,,,,,,,,
